POLICY_ID;POLICY_IS_RENEWED;POLICY_IS_RENEWED_PROBABILITY
9;1;0.753013
11;1;0.591766
12;1;0.62605
21;1;0.524485
36;1;0.690072
37;1;0.524789
40;0;0.327932
43;1;0.55881
44;1;0.548697
53;1;0.676913
61;1;0.554627
69;1;0.583459
70;0;0.4234
72;1;0.627137
79;1;0.617116
84;1;0.753013
86;1;0.647452
93;1;0.579586
102;0;0.314064
107;1;0.651318
114;0;0.443822
115;1;0.505228
117;1;0.743973
124;1;0.583079
131;1;0.721149
132;0;0.469399
133;1;0.733692
137;1;0.745596
138;1;0.69233
146;0;0.36956
149;0;0.296628
150;1;0.580529
152;1;0.635661
154;0;0.457413
158;1;0.695295
159;0;0.311936
160;0;0.479071
162;1;0.589778
163;1;0.587324
165;1;0.726714
167;1;0.696183
168;1;0.630872
171;1;0.618247
181;1;0.593177
187;1;0.742797
188;1;0.632692
189;1;0.515302
192;1;0.531013
193;1;0.650536
195;0;0.33793
214;0;0.172313
217;1;0.622635
227;1;0.69057
229;1;0.520293
235;1;0.631594
243;0;0.499153
252;1;0.744296
262;1;0.766342
264;1;0.739522
267;1;0.681016
272;0;0.470441
283;0;0.481361
285;0;0.382379
304;1;0.747871
306;0;0.456167
308;1;0.668451
309;1;0.507568
312;1;0.63099
317;1;0.724965
322;1;0.56666
326;1;0.674784
328;1;0.676112
340;1;0.669846
343;1;0.57265
344;1;0.755526
353;0;0.445402
354;1;0.597082
356;1;0.745014
359;1;0.669846
364;1;0.648238
366;1;0.675416
368;1;0.580499
369;1;0.761724
382;1;0.729528
383;0;0.367372
387;1;0.608957
388;1;0.680676
393;0;0.47469
394;1;0.698665
415;1;0.768395
416;1;0.768395
441;1;0.589275
442;1;0.678437
443;1;0.587643
444;1;0.713949
447;1;0.623035
452;1;0.74271
453;1;0.562381
454;1;0.575131
457;0;0.42399
458;1;0.759263
459;1;0.634929
464;1;0.628939
465;1;0.625689
467;0;0.471968
493;1;0.696283
497;1;0.586006
498;1;0.747871
499;0;0.396631
505;1;0.702668
506;1;0.604347
509;1;0.750394
514;0;0.41689
515;0;0.45507
519;1;0.522902
521;1;0.610622
526;0;0.172262
527;1;0.601339
533;1;0.718122
537;1;0.650127
548;1;0.547742
552;0;0.486803
554;1;0.645458
560;1;0.594139
564;1;0.742462
577;1;0.606342
578;0;0.287895
581;1;0.600142
583;0;0.321757
589;0;0.387905
593;1;0.68938
597;1;0.627784
610;1;0.677957
617;1;0.685505
619;1;0.738561
635;1;0.512038
653;1;0.602174
654;1;0.534094
660;1;0.534732
662;0;0.321317
671;1;0.720196
675;0;0.457676
685;1;0.676112
686;1;0.701472
699;0;0.172313
700;1;0.668813
702;1;0.510808
703;1;0.668451
707;0;0.172193
708;0;0.481373
710;1;0.574388
733;1;0.601228
735;1;0.600834
737;1;0.656725
739;1;0.749417
742;1;0.715312
744;1;0.609776
766;1;0.765358
769;0;0.441366
773;1;0.70355
780;1;0.75139
781;1;0.511115
787;1;0.526462
799;1;0.771957
803;1;0.755851
808;1;0.692377
818;1;0.661305
820;1;0.613633
826;0;0.485565
828;1;0.541945
836;1;0.641421
837;1;0.59264
838;1;0.674405
845;0;0.42703
846;1;0.581842
850;1;0.681732
851;0;0.457996
873;0;0.390118
876;0;0.187154
877;0;0.172313
879;1;0.634276
881;1;0.768395
886;1;0.515687
889;1;0.640477
894;1;0.602739
903;0;0.479549
907;1;0.738899
908;1;0.768395
916;1;0.621975
919;1;0.724616
927;1;0.747871
930;1;0.646113
936;1;0.757534
937;1;0.663184
940;1;0.751841
952;1;0.608268
960;1;0.705888
961;1;0.50908
973;0;0.265802
989;1;0.628568
999;1;0.708532
1001;1;0.604446
1005;1;0.768395
1006;1;0.628709
1007;1;0.686871
1013;0;0.439149
1014;0;0.240388
1016;1;0.704651
1017;1;0.540002
1018;1;0.668915
1024;1;0.516578
1031;1;0.704346
1032;1;0.661551
1036;1;0.578095
1038;1;0.678722
1045;1;0.655383
1048;1;0.557593
